Date,AAPL,TSLA,SP500
2010-06-28,8.0468,1.13333,1074.57
2010-06-29,7.68279,1.59267,1041.24
2010-06-30,7.54366,1.58867,1030.71
2010-07-01,7.4528,1.464,1027.37
2010-07-02,7.40575,1.28,1022.58
2010-07-06,7.45741,1.074,1028.06
2010-07-07,7.75686,1.05333,1060.27
2010-07-08,7.74086,1.164,1070.25
2010-07-09,7.78651,1.16,1077.96
2010-07-12,7.7168,1.13667,1078.75
2010-07-13,7.55238,1.20933,1095.34
2010-07-14,7.57998,1.32267,1095.17
2010-07-15,7.54088,1.326,1096.48
2010-07-16,7.49513,1.376,1064.88
2010-07-19,7.36518,1.46067,1071.25
2010-07-20,7.55533,1.35333,1083.48
2010-07-21,7.62397,1.348,1069.59
2010-07-22,7.76788,1.4,1093.67
2010-07-23,7.79615,1.41933,1102.66
2010-07-26,7.77603,1.39667,1115.01
2010-07-27,7.92087,1.37,1113.84
2010-07-28,7.8261,1.38133,1106.13
2010-07-29,7.74154,1.35667,1101.53
2010-07-30,7.71521,1.32933,1101.6
2010-08-02,7.85324,1.39467,1125.86
2010-08-03,7.85615,1.46333,1120.46
2010-08-04,7.88641,1.41733,1127.24
2010-08-05,7.84858,1.36333,1125.81
2010-08-06,7.80066,1.306,1121.64
2010-08-09,7.85025,1.30667,1127.79
2010-08-10,7.78014,1.26867,1121.06
2010-08-11,7.50309,1.19333,1089.47
2010-08-12,7.55178,1.17333,1083.61
2010-08-13,7.47085,1.22133,1079.25
2010-08-16,7.42744,1.252,1079.38
2010-08-17,7.557,1.27667,1092.54
2010-08-18,7.59001,1.25133,1094.16
2010-08-19,7.49435,1.25267,1075.63
2010-08-20,7.48667,1.27333,1071.69
2010-08-23,7.37236,1.342,1067.36
2010-08-24,7.19526,1.28,1051.87
2010-08-25,7.28474,1.32667,1055.33
2010-08-26,7.20657,1.31667,1047.22
2010-08-27,7.24712,1.31333,1064.59
2010-08-30,7.27306,1.32467,1048.92
2010-08-31,7.29092,1.29867,1049.33
2010-09-01,7.50769,1.36333,1080.29
2010-09-02,7.5628,1.404,1090.1
2010-09-03,7.7603,1.40333,1104.51
2010-09-07,7.7327,1.36933,1091.84
2010-09-08,7.88483,1.39333,1098.87
2010-09-09,7.88936,1.38067,1104.18
2010-09-10,7.89957,1.34467,1109.55
2010-09-13,8.00869,1.38133,1121.9
2010-09-14,8.03991,1.408,1121.1
2010-09-15,8.10412,1.46533,1125.07
2010-09-16,8.29459,1.396,1124.66
2010-09-17,8.25855,1.34867,1125.59
2010-09-20,8.49455,1.40333,1142.71
2010-09-21,8.51065,1.38467,1139.78
2010-09-22,8.6299,1.32467,1134.28
2010-09-23,8.66494,1.304,1124.83
2010-09-24,8.767,1.34,1148.67
2010-09-27,8.73217,1.36867,1142.16
2010-09-28,8.60328,1.42667,1147.7
2010-09-29,8.61869,1.46533,1144.73
2010-09-30,8.50986,1.36067,1141.2
2010-10-01,8.47344,1.37333,1146.24
2010-10-04,8.35706,1.39933,1137.03
2010-10-05,8.66564,1.408,1160.75
2010-10-06,8.67349,1.364,1159.97
2010-10-07,8.67447,1.362,1158.06
2010-10-08,8.82012,1.362,1165.15
2010-10-11,8.85813,1.34933,1165.32
2010-10-12,8.95367,1.34933,1169.77
2010-10-13,9.00162,1.36933,1178.1
2010-10-14,9.06704,1.38333,1173.81
2010-10-15,9.44036,1.36933,1176.19
2010-10-18,9.53661,1.34867,1184.71
2010-10-19,9.28319,1.33667,1165.9
2010-10-20,9.31366,1.37667,1178.17
2010-10-21,9.28319,1.38333,1180.26
2010-10-22,9.22134,1.38133,1183.08
2010-10-25,9.26357,1.39,1185.62
2010-10-26,9.23851,1.424,1185.64
2010-10-27,9.23154,1.4,1182.45
2010-10-28,9.15444,1.41267,1183.78
2010-10-29,9.02667,1.456,1183.26
2010-11-01,9.12194,1.42733,1184.38
2010-11-02,9.27831,1.41667,1193.57
2010-11-03,9.38142,1.45133,1197.96
2010-11-04,9.54447,1.66,1221.06
2010-11-05,9.51009,1.62933,1225.85
2010-11-08,9.55525,1.66533,1223.25
2010-11-09,9.47963,1.642,1213.4
2010-11-10,9.53857,1.95733,1218.71
2010-11-11,9.49535,1.86933,1213.54
